Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Note 1,Note 2,Note 3
2017,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitric Oxide (NO),13.4,16.1,14.8,,,
2018,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitric Oxide (NO),11.9,14.4,12.8,,,
2010,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),32.1,61.6,48.2,,,
2011,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),26.4,52.3,40.3,,,
2012,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),23.6,47.2,36.3,,,
2013,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),29.8,51.2,41.3,,,
2014,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),24.1,43,34.1,,,
2015,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),20.5,39.1,29.9,,,
2016,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),18.1,34.8,26.6,,,
2017,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),17,31.4,24.3,,,
2018,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitric Oxide (NO),13.4,19.2,15.9,,,
2010,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),17.8,23.6,20.4,,,
2011,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),14.5,19.7,16.9,,,
2012,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),13,17.9,15.2,,,
2013,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),14.6,20.2,17.3,,,
2014,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),14.3,19,16.5,,,
